VideoName,ValueExtraversion,ValueAgreeableness,ValueConscientiousness,ValueNeurotisicm,ValueOpenness
Ymqszjv54.001.mp4,1,0.2,0.5,0.6,0.7
-9BZ8A9U7TE.004.mp4,0.504672897,0.604395604,0.417475728,0.59375,0.611111111
-55DRRMTppE.000.mp4,0.579439252,0.648351648,0.718446602,0.65625,0.6
-6otZ7M-Mro.001.mp4,0.46728972,0.769230769,0.699029126,0.572916667,0.7
-IK--4uz5ZY.000.mp4,0.579439252,0.604395604,0.67961165,0.5625,0.588888889
1RMdiCbNNh4.003.mp4,0.186915888,0,0.213592233,0.270833333,0.533333333
1UaqZEUUk9I.000.mp4,0.551401869,0.791208791,0.689320388,0.645833333,0.633333333
2f7rLXwzP3s.002.mp4,0.644859813,0.593406593,0.689320388,0.708333333,0.7
3DURnr95fMg.002.mp4,0.308411215,0.494505495,0.466019417,0.427083333,0.6
3IV-sr3NOUo.004.mp4,0.242990654,0.461538462,0.242718447,0.291666667,0.355555556
IK--4uz5ZY.003.mp4,0.644859813,0.703296703,0.660194175,0.677083333,0.744444444
0C6i34q2-f8.001.mp4,0.373831776,0.417582418,0.349514563,0.333333333,0.344444444
0ObEtA6Q8vU.003.mp4,0.579439252,0.56043956,0.650485437,0.635416667,0.611111111
0fMw9o1v2tY.003.mp4,0.224299065,0.461538462,0.291262136,0.364583333,0.377777778
0gv5Z0qt2jc.004.mp4,0.186915888,0.197802198,0.252427184,0.229166667,0.155555556
0ObEtA6Q8vU.003.mp4,0.579439252,0.56043956,0.650485437,0.635416667,0.611111111
4fN-DKUzgWQ.002.mp4,0.560747664,0.582417582,0.669902913,0.697916667,0.622222222
4KD3XCMsIBs.002.mp4,0.523364486,0.571428571,0.330097087,0.479166667,0.533333333
5bi_PM3XMEQ.004.mp4,0.607476636,0.362637363,0.601941748,0.645833333,0.577777778
5hFRSHAis2E.001.mp4,0.672897196,0.681318681,0.54368932,0.541666667,0.655555556
5hFRSHAis2E.004.mp4,0.523364486,0.769230769,0.650485437,0.541666667,0.766666667
6JfSPPVUgIg.001.mp4,0.23364486,0.318681319,0.281553398,0.145833333,0.3
6l0RBbxg4fk.001.mp4,0.682242991,0.813186813,0.660194175,0.75,0.866666667
6LKbPUX03sY.002.mp4,0.373831776,0.483516484,0.213592233,0.364583333,0.455555556
6M8OQNo64Tc.000.mp4,0.224299065,0.274725275,0.155339806,0.302083333,0.3
6nbxAP_ZKQQ.004.mp4,0.551401869,0.494505495,0.54368932,0.46875,0.788888889
6NjuNY4LfQc.001.mp4,0.700934579,0.637362637,0.54368932,0.770833333,0.777777778
6NjuNY4LfQc.002.mp4,0.345794393,0.417582418,0.330097087,0.302083333,0.433333333
6oL9yyc9iJc.005.mp4,0.495327103,0.549450549,0.514563107,0.520833333,0.555555556
0G9vplL8ae8.004.mp4,0.373831776,0.406593407,0.40776699,0.427083333,0.566666667
0axZSeaUbfs.003.mp4,0.38317757,0.527472527,0.233009709,0.427083333,0.422222222
0a5FOYBAIcc.001.mp4,0.429906542,0.43956044,0.330097087,0.34375,0.488888889
6tBnFWDqvJE.000.mp4,0.485981308,0.56043956,0.631067961,0.46875,0.588888889
6U2qLDZA5lQ.000.mp4,0.598130841,0.538461538,0.893203883,0.78125,0.733333333
6uqXoPJSoPg.001.mp4,0.654205607,0.725274725,0.660194175,0.6875,0.655555556
6uqXoPJSoPg.002.mp4,0.691588785,0.813186813,0.873786408,0.802083333,0.911111111
6waL_gUxtAM.002.mp4,0.710280374,0.626373626,0.640776699,0.65625,0.8
78zauTEQ-k8.003.mp4,0.61682243,0.571428571,0.563106796,0.5,0.577777778
75XbCb7G8kw.005.mp4,0.504672897,0.637362637,0.699029126,0.541666667,0.4
69BopbFc34U.003.mp4,0.177570093,0.373626374,0.252427184,0.322916667,0.344444444
65xWDhgq1OE.002.mp4,0.560747664,0.582417582,0.786407767,0.916666667,0.744444444
6wHQsN5g2RM.005.mp4,0.364485981,0.32967033,0.330097087,0.28125,0.377777778
6WSr4IW6cNI.005.mp4,0.420560748,0.637362637,0.368932039,0.375,0.544444444
6zm71IHOCZA.004.mp4,0.280373832,0.395604396,0.504854369,0.229166667,0.3
7A7gav98tW4.000.mp4,0.271028037,0.318681319,0.300970874,0.3125,0.322222222
7b9DirXrkHo.000.mp4,0.261682243,0.384615385,0.310679612,0.34375,0.544444444
7fOxteINSUg.002.mp4,0.23364486,0.318681319,0.213592233,0.197916667,0.288888889
7fOxteINSUg.005.mp4,0.196261682,0.32967033,0.203883495,0.145833333,0.244444444
7GRC7XjGzX8.000.mp4,0.663551402,0.703296703,0.86407767,0.802083333,0.7
7IegDaeNlik.001.mp4,0.504672897,0.505494505,0.485436893,0.447916667,0.488888889
7IegDaeNlik.004.mp4,0.495327103,0.582417582,0.40776699,0.40625,0.466666667
7LHmNEH65Pk.001.mp4,0.457943925,0.56043956,0.621359223,0.354166667,0.533333333
7nJPNkWZDOY.001.mp4,0.719626168,0.549450549,0.601941748,0.520833333,0.822222222
7nJPNkWZDOY.004.mp4,0.691588785,0.659340659,0.660194175,0.65625,0.711111111
7P2F5Mk_Q1s.001.mp4,0.364485981,0.340659341,0.32038835,0.302083333,0.355555556
7PYAn9njCHI.003.mp4,0.327102804,0.516483516,0.601941748,0.427083333,0.522222222
7qGYGbIg45c.000.mp4,0.186915888,0.406593407,0.436893204,0.354166667,0.388888889
7T-KyMnEbJM.000.mp4,0.663551402,0.494505495,0.417475728,0.614583333,0.722222222
7u0o63Z7q9E.000.mp4,0.728971963,0.835164835,0.757281553,0.697916667,0.788888889
